Bangla,English
Bangla,English
Bangla,English
Bangla,English
Bangla,English
ঘৃণা,hatred
পালিয়ে,run away
বাস,the bus
শহরের,of the city
হবার,to be
ভালোবাসা,love
দূর,away
দুটো,two
ভাগ,share
একেবারে,absolutely
আটকে,stuck
শহরে,in the city
সময়ের,of time
কাছাকাছি,nearby
বুঝেছি,got it
এরপর,After that
দেবতা,god
আদেশ,order
দিবো,will give
বই,book
বানিয়ে,by making
ফেলেছে,left
তোরা,you
এদের,Their
যোগাযোগ,communication
ঘর,house
দেখাতে,to show
আসবো,will come
প্ল্যান,the plan
গরম,hot
হিসাবে,as
মতই,like
পারতাম,I could
অনুসরণ,following
পরিচিত,known
সমাধান,solution
রুমে,in the room
কই,where
ঘুরে,turn around
রকম,sort of
ঘন্টা,hours
তাঁদের,their
জোরে,loudly
দায়িত্ব,responsibility
দুজন,two
বিরক্ত,bored
রাখ,keep
বেরিয়ে,get out
লর্ড,lord
হয়তোবা,maybe
উনার,His
যেভাবে,how
পরিচয়,identity
ফেল,fail
খোলা,open
মাস্টার,master
তে,in
জন্ম,the birth
আগুন,the fire
দাঁড়িয়ে,standing
ছেলের,son's
সম্পর্ক,relationship
রাজি,agreed
করতো,used to
মেনে,obey
নিরাপত্তা,safety
মরতে,to die
হত,would have been
দেয়ার,to give
রাতের,the night
শান্তি,the peace
জেনে,knowing
চেয়েছিলাম,I wanted
সমস্ত,all
রেডি,ready
থামাও,stop it
মানুষকে,people
এজেন্ট,the agent
জিনিসটা,the thing
দেখাচ্ছে,showing
সাথেই,immediately
থাকব,will stay
বলল,said
মিনিটের,of minutes
আস,come on
ঘুম,sleep
চাইনা,don't want
রুম,the room
translated,Translated
ফেলতে,to drop
ক্ষতি,damage
প্রেসিডেন্ট,the president
ওরে,hey
গাছ,the tree
যাবার,to go
গ্রহণ,accept
বাঁচাতে,to save
রেখো,keep
শক্ত,tough
দেখলাম,i saw
কিচ্ছু,something
অামি,i am
নিয়েছে,took
পৃথিবীতে,on earth
এসেছেন,has come
চুক্তি,contract
ধুর,the hell
মুখে,in the mouth
শীঘ্রই,soon
লক্ষ্য,aim
কবে,when
জ্বি,yes
সম্পূর্ণ,complete
করেছিলে,you did
বরং,rather
এভাবেই,This is how
কাহিনী,the story
ভেতর,inside
সেগুলো,They are
চলবে,will continue
মেয়েটা,the girl
বিষয়ে,about
লোকজন,the people
দাম,the price
কেউই,no one
সতর্ক,careful
আগামীকাল,tomorrow
শরীর,the body
তৈরী,ready
লাগলো,started
পাচ্ছ,you see
মনোযোগ,attention
লোকেরা,the people
হয়না,no
স্কুল,school
গাড়িতে,in the car
রাস্তায়,on the road
আইন,the law
দেখেছো,have you seen
শিকার,victim
শুনুন,listen
বিশাল,huge
ওদেরকে,to them
লম্বা,long
হয়ে,become
রাগ,anger
হামলা,attack
এজন্যই,That's why
যাবেন,go
বাচ্চারা,the children
দেখবে,will see
নিয়ম,rules
ম্যান,man
করোনা,do not
হাহ,haha
লাল,the red
পুলিশের,of the police
ডান,the right
কিংবা,Or
এসেছিল,came
ওগুলো,those
কোড,code
পারবনা,can't
আলো,the light
মালিক,the owner
আম্মু,Mom
বানাতে,to make
গাড়ির,of the car
নজর,glance
ক্ষেত্রে,in case
একজনকে,to one
ভিন্ন,different
পুরোপুরি,completely
কারনে,because of
আবারো,again
যাদের,whose
থাকুন,stay
কিছুর,something
ঘণ্টা,bell
চলুন,let's go
পাঠিয়ে,by sending
দশ,ten
চা,the tea
প্রার্থনা,prayer
অসুস্থ,sick
করিস,you do
পেলাম,got
লোকের,of people
থেকেও,from
আক্রমণ,attack
জী,yes
শাস্তি,punishment
সৃষ্টি,the creation
বুদ্ধি,intelligence
তাকিয়ে,looking
মাকে,to the mother
বানানো,made up
অবস্থান,location
খাও,eat
প্রত্যেক,each
নেবে,will take
পেয়েছ,got
প্রকাশ,disclosure
যেহেতু,Since
কেস,case
জায়গাটা,the place
তবুও,nevertheless
সাবটাইটেল,Subtitle
জানার,to know
বুঝে,understand
অর্ধেক,half
এটা,it is
আর,And
আছে,there is
সে,he
এই,this
করে,by doing
হবে,will be
জন্য,for
আমাদের,our
একটা,one
আমাকে,me
আপনি,you
তো,so
যে,that
তার,his
থেকে,from
কিছু,something
সাথে,with
কিন্তু,but
এখানে,here
তোমাকে,you
এখন,now
মনে,in mind
কী,what
যদি,if
এবং,And
হয়,is
আপনার,your
নিয়ে,with
তাকে,him
তারা,they are
নেই,no
তাহলে,then
অনেক,a lot
কেন,why
হ্যাঁ,yes
করো,do it
তাই,so
সব,all
এক,one
এর,of
হচ্ছে,being
যাও,go
কাজ,work
ও,And
কে,who
কাছে,near
শুধু,only
স্যার,sir
দাও,give it
তাদের,their
যা,which
একজন,one
ভাল,well
জানি,i know
যেতে,to go
দিয়ে,with
খুব,very
করবে,will do
যাবে,will go
চাই,want
পারে,can
শেষ,the end
করার,to do
ধন্যবাদ,thank you
যখন,when
কেউ,someone
করি,I do
সময়,the time
তুই,you
গেছে,gone
বাবা,father
ওকে,ok
মত,like
সেটা,that
হতে,to be
চলে,move on
নয়,not
হ্যা,yes
একটু,a little
পারি,I can
দেখতে,to see
সবাই,everyone
আগে,before
দেখা,see
করছি,doing
বের,get out
বলে,says
কর,do
আবার,again
দিতে,to give
নাম,name
যায়,goes
ওর,her
পারবে,can
নাকি,or
কিভাবে,how
মধ্যে,in
তোমরা,you
ফিরে,back
আচ্ছা,ok
সাহায্য,help
আপনাকে,to you
মানুষ,people
তা,that
মা,
করেছে,did
দিকে,towards
দরকার,need
আসলে,actually
শুরু,start
ওটা,that
দুঃখিত,sorry
দিন,day
চলো,come on
মানে,means
কিন্ত,but
তোর,your
তোমাদের,yours
করছে,doing
বলছি,saying
বিশ্বাস,faith
বন্ধ,off
করেছি,I did
এমন,such
অবশ্যই,of course
নিজের,own
কারণ,because
বড়,big
করবো,will do
বেশি,more
বছর,year
উপর,on
যাচ্ছে,is going
আসো,come on
চেষ্টা,try
তারপর,then
হল,Hall
হয়,is
হেই,hey
এসব,these
কিছুই,nothing
এটাই,That's it
জানো,know
বুঝতে,to understand
আজ,today
ছিলো,was
বলো,tell me
মতো,like
ধরে,by holding
কখনো,ever
খারাপ,bad
কেমন,how
প্লিজ,please
মারা,die
পছন্দ,choice
সেখানে,there
চাও,want
সমস্যা,the problem
দেখে,see
নি,no
পর,after
থাকে,remains
এখনো,yet
সুন্দর,beautiful
তখন,then
ভুল,wrong
ভাই,brother
ওখানে,there
পর্যন্ত,up to
করব,will do
নতুন,new
পরে,after
থাকতে,to stay
ওরা,They are
যাই,let's go
অন্য,other
হলো,done
খুঁজে,to find
ভয়,fear
ব্যাপারে,regarding
ছেড়ে,leave
আরো,more
নিতে,to take
থাকবে,will be
করুন,do
লোক,people
আরে,hey
ফোন,the phone
বন্ধু,friend
হাত,hand
লাগবে,will need
এসো,come on
ওই,that
যেন,as if
সত্যি,true
জীবন,the life
বল,say
ছেলে,son
এত,so much
যেটা,which
সামনে,in front
জিনিস,thing
পারবো,i can
এটি,this
হ্যালো,hello
ছিলাম,I was
অপেক্ষা,wait
করবেন,will do
সবকিছু,everything
উচিত,should
নিচে,down
থাকো,stay
পারো,you can
নিশ্চিত,sure
হলে,if
এসেছে,has arrived
বা,or
প্রথম,the first
এখান,here
জলদি,soon
কত,how much
জানতে,to know
মেয়ে,girl
আসবে,will come
হও,be
এসে,come
করছ,you do
এরকম,like this
ওদের,their
দুই,two
দেখ,look
তৈরি,made up
জন,John
পারেন,can
হাতে,in hand
সবচেয়ে,the most
হয়তো,maybe
আসছে,is coming
একদম,at all
নাই,no
লাগছে,feeling
যাক,Let's
মেরে,kill
সত্যিই,really
বাইরে,outside
বেশ,quite
আসতে,to come
গুলি,shot
বলা,to say
এটার,its
এসেছি,i came
পড়ে,read
পুরো,the whole
যান,go to
এগুলো,These are
দিয়েছে,gave
আমিও,me too
সবসময়,always
চল,come on
পেয়েছি,received
মিনিট,minutes
